                                  Prefix Verb   URI Pattern                                                                                       Controller#Action
                       user_session_home GET    /user_session/home(.:format)                                                                      user_session#home
                            reviews_home GET    /reviews/home(.:format)                                                                           reviews#home
                    reviews_select_modal GET    /reviews/select_modal(.:format)                                                                   reviews#select_modal
                 reviews_show_regression GET    /reviews/show_regression(.:format)                                                                reviews#show_regression
                 user_session_add_metric GET    /user_session/add_metric(.:format)                                                                user_session#add_metric
                  user_session_add_event GET    /user_session/add_event(.:format)                                                                 user_session#add_event
              user_session_define_metric GET    /user_session/define_metric(.:format)                                                             user_session#define_metric
               user_session_define_event GET    /user_session/define_event(.:format)                                                              user_session#define_event
                      user_session_chart GET    /user_session/chart(.:format)                                                                     user_session#chart
                           reviews_chart GET    /reviews/chart(.:format)                                                                          reviews#chart
                    user_session_refresh GET    /user_session/refresh(.:format)                                                                   user_session#refresh
         duser_metrics_show_unit_display GET    /duser_metrics/show_unit_display(.:format)                                                        duser_metrics#show_unit_display
         duser_metrics_filter_table_rows GET    /duser_metrics/filter_table_rows(.:format)                                                        duser_metrics#filter_table_rows
                                         POST   /user_session/home(.:format)                                                                      user_session#changes
                    duser_metrics_create POST   /duser_metrics/create(.:format)                                                                   duser_metrics#create
                      duser_metrics_edit POST   /duser_metrics/edit(.:format)                                                                     duser_metrics#edit
                     user_session_delete POST   /user_session/delete(.:format)                                                                    duser_metrics#destroy
                           duser_metrics POST   /duser_metrics(.:format)                                                                          duser_metrics#create
      user_session_toggle_metric_visible POST   /user_session/toggle_metric_visible(.:format)                                                     metrics#toggle_metric_visible
   duser_metrics_save_duser_metric_table PATCH  /duser_metrics/save_duser_metric_table(.:format)                                                  duser_metrics#save_duser_metric_table
                     duser_metrics_chart GET    /duser_metrics/chart(.:format)                                                                    duser_metrics#chart
                   duser_metrics_destroy DELETE /duser_metrics/destroy(.:format)                                                                  duser_metrics#destroy
                                         GET    /duser_metrics(.:format)                                                                          duser_metrics#index
                                         POST   /duser_metrics(.:format)                                                                          duser_metrics#create
                        new_duser_metric GET    /duser_metrics/new(.:format)                                                                      duser_metrics#new
                       edit_duser_metric GET    /duser_metrics/:id/edit(.:format)                                                                 duser_metrics#edit
                            duser_metric GET    /duser_metrics/:id(.:format)                                                                      duser_metrics#show
                                         PATCH  /duser_metrics/:id(.:format)                                                                      duser_metrics#update
                                         PUT    /duser_metrics/:id(.:format)                                                                      duser_metrics#update
                                         DELETE /duser_metrics/:id(.:format)                                                                      duser_metrics#destroy
                                   units GET    /units(.:format)                                                                                  units#index
                                         POST   /units(.:format)                                                                                  units#create
                                new_unit GET    /units/new(.:format)                                                                              units#new
                               edit_unit GET    /units/:id/edit(.:format)                                                                         units#edit
                                    unit GET    /units/:id(.:format)                                                                              units#show
                                         PATCH  /units/:id(.:format)                                                                              units#update
                                         PUT    /units/:id(.:format)                                                                              units#update
                                         DELETE /units/:id(.:format)                                                                              units#destroy
                                 metrics GET    /metrics(.:format)                                                                                metrics#index
                                         POST   /metrics(.:format)                                                                                metrics#create
                              new_metric GET    /metrics/new(.:format)                                                                            metrics#new
                             edit_metric GET    /metrics/:id/edit(.:format)                                                                       metrics#edit
                                  metric GET    /metrics/:id(.:format)                                                                            metrics#show
                                         PATCH  /metrics/:id(.:format)                                                                            metrics#update
                                         PUT    /metrics/:id(.:format)                                                                            metrics#update
                                         DELETE /metrics/:id(.:format)                                                                            metrics#destroy
                                 reviews GET    /reviews(.:format)                                                                                reviews#index
                                         POST   /reviews(.:format)                                                                                reviews#create
                              new_review GET    /reviews/new(.:format)                                                                            reviews#new
                             edit_review GET    /reviews/:id/edit(.:format)                                                                       reviews#edit
                                  review GET    /reviews/:id(.:format)                                                                            reviews#show
                                         PATCH  /reviews/:id(.:format)                                                                            reviews#update
                                         PUT    /reviews/:id(.:format)                                                                            reviews#update
                                         DELETE /reviews/:id(.:format)                                                                            reviews#destroy
                       new_duser_session GET    /dusers/sign_in(.:format)                                                                         devise/sessions#new
                           duser_session POST   /dusers/sign_in(.:format)                                                                         devise/sessions#create
                   destroy_duser_session DELETE /dusers/sign_out(.:format)                                                                        devise/sessions#destroy
                      new_duser_password GET    /dusers/password/new(.:format)                                                                    devise/passwords#new
                     edit_duser_password GET    /dusers/password/edit(.:format)                                                                   devise/passwords#edit
                          duser_password PATCH  /dusers/password(.:format)                                                                        devise/passwords#update
                                         PUT    /dusers/password(.:format)                                                                        devise/passwords#update
                                         POST   /dusers/password(.:format)                                                                        devise/passwords#create
               cancel_duser_registration GET    /dusers/cancel(.:format)                                                                          devise/registrations#cancel
                  new_duser_registration GET    /dusers/sign_up(.:format)                                                                         devise/registrations#new
                 edit_duser_registration GET    /dusers/edit(.:format)                                                                            devise/registrations#edit
                      duser_registration PATCH  /dusers(.:format)                                                                                 devise/registrations#update
                                         PUT    /dusers(.:format)                                                                                 devise/registrations#update
                                         DELETE /dusers(.:format)                                                                                 devise/registrations#destroy
                                         POST   /dusers(.:format)                                                                                 devise/registrations#create
